-12	-20	5
-15	9	7
-26	0	-2
-21	-5	-2
-26	-24	-15
-24	-7	-21
-10	11	-9
-11	-17	-10
12	-19	6
16	9	8
27	1	-2
22	-5	-2
28	-23	-15
25	-6	-21
10	10	-9
12	-16	-10
NaN	NaN	NaN
-23	57	-9
-37	-83	-13
-8	-33	67
-56	-11	15
-14	64	-1
-8	39	9
-7	16	34
-7	-12	41
-4	-38	31
-8	-49	6
-5	-82	17
-50	12	9
-44	31	-10
-50	30	5
-36	33	32
-10	26	45
-38	-7	-1
-37	9	-4
-40	-84	12
-15	-89	27
-35	-54	-20
-11	-72	-5
-24	-17	-27
-27	36	-18
-43	-67	37
-56	-37	31
-21	-60	58
-45	-25	53
-42	-9	50
-6	-58	40
-5	39	-20
-4	14	-10
-48	-19	6
-57	-11	-7
-40	5	-22
-58	-38	16
-51	-34	-27
-60	-30	-14
-39	31	-3
-44	21	7
-41	-33	17
-19	-98	-4
-34	7	-38
-16	-66	4
-37	-20	45
-13	-37	47
-31	21	-10
-41	-12	-8
-36	5	10
-41	-23	-27
-25	-79	-9
-40	23	21
-27	44	20
-24	20	44
-51	-53	31
-29	-60	38
-32	-86	4
-28	-81	19
-43	-69	0
-43	-51	-15
-29	-49	-12
-41	42	-3
-12	26	-20
-26	36	-14
-15	-68	23
-4	0	18
-38	-35	45
-45	4	27
-29	-8	52
-7	40	-11
-10	-48	35
-53	-35	-18
-50	-41	3
-51	-25	4
NaN	NaN	NaN
21	58	-10
41	-79	-12
7	-33	67
56	-10	15
16	63	1
9	39	7
8	17	35
7	-10	42
4	-38	32
8	-51	7
6	-79	19
51	9	8
48	33	-8
52	29	8
37	34	31
10	28	45
39	-4	-3
39	10	-3
41	-81	14
19	-85	32
34	-52	-19
11	-66	-4
26	-15	-28
28	35	-18
46	-62	39
58	-32	32
22	-56	61
44	-24	54
42	-8	50
6	-60	42
5	35	-21
5	14	-12
49	-17	6
60	-9	-6
42	6	-20
59	-32	17
53	-32	-27
61	-28	-13
42	29	2
46	21	8
40	-27	17
18	-95	-3
37	8	-37
17	-63	5
36	-19	45
12	-36	47
32	22	-8
43	-11	-7
37	7	10
43	-22	-27
26	-78	-9
40	26	21
29	43	20
24	19	45
50	-44	32
30	-57	43
34	-83	7
28	-77	22
44	-66	4
44	-50	-16
30	-47	-12
43	40	-3
13	25	-19
26	36	-14
17	-67	24
6	-1	19
37	-33	47
44	6	28
27	-8	53
7	40	-13
9	-49	36
54	-34	-17
51	-37	2
53	-21	6
